GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tup2024,ar.edu.utn.frbb.tup.persistence,AbstractBaseDao,22,5,2,0,4,1,3,1,2,1
tup2024,ar.edu.utn.frbb.tup.persistence,ClienteDao,86,0,10,0,20,0,10,0,5,0
tup2024,ar.edu.utn.frbb.tup.persistence,CuentaDao,105,0,12,0,26,0,12,0,6,0
tup2024,ar.edu.utn.frbb.tup.persistence,PrestamoDao,59,6,6,0,14,1,8,1,5,1
tup2024,ar.edu.utn.frbb.tup.controller.validator,ClienteValidator,30,0,4,0,8,0,4,0,2,0
tup2024,ar.edu.utn.frbb.tup.controller.validator,CuentaValidator,44,0,8,0,10,0,8,0,4,0
tup2024,ar.edu.utn.frbb.tup.controller.validator,PrestamoValidator,26,0,4,0,8,0,5,0,3,0
tup2024,ar.edu.utn.frbb.tup.model.exception,CuentaAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
tup2024,ar.edu.utn.frbb.tup.model.exception,PrestamoRechazadoException,4,0,0,0,2,0,1,0,1,0
tup2024,ar.edu.utn.frbb.tup.model.exception,TipoCuentaAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
tup2024,ar.edu.utn.frbb.tup.model.exception,CantidadNegativaException,3,0,0,0,1,0,1,0,1,0
tup2024,ar.edu.utn.frbb.tup.model.exception,TipoCuentaNoSoportadaException,4,0,0,0,2,0,1,0,1,0
tup2024,ar.edu.utn.frbb.tup.model.exception,ClienteAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
tup2024,ar.edu.utn.frbb.tup.model,Cuenta,41,53,0,0,14,20,6,10,6,10
tup2024,ar.edu.utn.frbb.tup.model,TipoMoneda,8,49,2,2,1,10,2,4,0,4
tup2024,ar.edu.utn.frbb.tup.model,Prestamo,50,56,0,0,16,22,8,13,8,13
tup2024,ar.edu.utn.frbb.tup.model,Cuota,14,9,0,0,6,4,4,1,4,1
tup2024,ar.edu.utn.frbb.tup.model,Banco,15,0,0,0,5,0,3,0,3,0
tup2024,ar.edu.utn.frbb.tup.model,TipoCuenta,29,28,4,0,4,7,3,3,1,3
tup2024,ar.edu.utn.frbb.tup.model,Persona,6,51,0,0,2,20,2,9,2,9
tup2024,ar.edu.utn.frbb.tup.model,EstadoPrestamo,50,0,0,0,20,0,11,0,11,0
tup2024,ar.edu.utn.frbb.tup.model,Cliente,17,75,0,6,7,18,5,9,5,6
tup2024,ar.edu.utn.frbb.tup.model,PrestamoConsultaCliente,57,0,0,0,23,0,13,0,13,0
tup2024,ar.edu.utn.frbb.tup.model,TipoPersona,3,54,0,4,1,10,1,5,1,3
tup2024,ar.edu.utn.frbb.tup.controller.handler,CustomApiError,18,0,0,0,7,0,5,0,5,0
tup2024,ar.edu.utn.frbb.tup.controller.handler,TupResponseEntityExceptionHandler,65,0,2,0,15,0,5,0,4,0
tup2024,ar.edu.utn.frbb.tup,ApplicationConfig,3,0,0,0,1,0,1,0,1,0
tup2024,ar.edu.utn.frbb.tup,Application,8,0,0,0,3,0,2,0,2,0
tup2024,ar.edu.utn.frbb.tup.service,PrestamoService,280,10,32,0,64,2,26,2,10,2
tup2024,ar.edu.utn.frbb.tup.service,CuotaService,3,45,0,2,1,9,1,4,1,3
tup2024,ar.edu.utn.frbb.tup.service,CuentaService,43,90,9,13,8,14,9,7,2,3
tup2024,ar.edu.utn.frbb.tup.service,ClienteService,21,88,3,7,4,23,4,9,2,6
tup2024,ar.edu.utn.frbb.tup.controller,PersonaDto,0,31,0,0,0,13,0,9,0,9
tup2024,ar.edu.utn.frbb.tup.controller,ClienteDto,4,13,0,0,2,5,1,4,1,4
tup2024,ar.edu.utn.frbb.tup.controller,ClienteController,22,0,0,0,5,0,4,0,4,0
tup2024,ar.edu.utn.frbb.tup.controller,CuentaController,10,0,0,0,3,0,2,0,2,0
tup2024,ar.edu.utn.frbb.tup.controller,PrestamoDto,31,0,0,0,13,0,9,0,9,0
tup2024,ar.edu.utn.frbb.tup.controller,PrestamoConsultaDto,30,0,0,0,12,0,6,0,6,0
tup2024,ar.edu.utn.frbb.tup.controller,PrestamoOutputDto,41,0,0,0,15,0,7,0,7,0
tup2024,ar.edu.utn.frbb.tup.controller,CuentaDto,7,17,0,0,3,7,2,5,2,5
tup2024,ar.edu.utn.frbb.tup.controller,PrestamoController,22,0,2,0,6,0,4,0,3,0
tup2024,ar.edu.utn.frbb.tup.persistence.entity,PrestamoEntity,102,0,4,0,26,0,6,0,4,0
tup2024,ar.edu.utn.frbb.tup.persistence.entity,BaseEntity,15,0,0,0,7,0,3,0,3,0
tup2024,ar.edu.utn.frbb.tup.persistence.entity,CuentaEntity,65,0,0,0,17,0,4,0,4,0
tup2024,ar.edu.utn.frbb.tup.persistence.entity,ClienteEntity,102,0,8,0,22,0,6,0,2,0
